asin,title,keyword_ids,english_keywords,relevance_pct,n,matches
B0009V7D1O,Lenco SCD-24 WHITE - CD Player - Radio-CD Player - auch für Kinder,119;104,kids cd player|portable cd player,100;50,2,"kids cd player(id119,100%,title) | portable cd player(id104,50%,body)"
B00331A1M0,"Lenco SCD-37 Lecteur CD pour enfants - Radio CD - Chaîne stéréo - Boombox - Tuner radio FM - Port USB - MP3-2 x 1,5 W de puissance RMS - Fonctionne sur secteur et sur piles - Rouge",119;123,kids cd player|stereo system,100;56,2,"kids cd player(id119,100%,title) | stereo system(id123,56%,title)"
B00331A1NY,"Lenco SCD-37 - CD-Player für Kinder - CD-Radio - Stereoanlage - Boombox - UKW Radiotuner - USB Anschluss - MP3 - 2 x 1,5 W RMS-Leistung - Netz- und Batteriebetrieb - Blau",119;103;104,kids cd player|mp3 player|portable cd player,100;67;58,3,"kids cd player(id119,100%,title) | mp3 player(id103,67%,title) | portable cd player(id104,58%,body)"
B004IZKVA2,Lenco Radio CD-speler SCD-38 Draagbare MP3-radio USB FM-adapter op batterijen Blauw,104;102;103,portable cd player|portable radio|mp3 player,100;67;67,3,"portable cd player(id104,100%,title) | portable radio(id102,67%,title) | mp3 player(id103,67%,title)"
B004OW242W,Lenco CD SCD-38 Radio Lecteur - Radio Portable MP3 - USB - FM - Fonctionne sur adaptateur et sur piles - Vert,104;102;103,portable cd player|portable radio|mp3 player,100;83;67,3,"portable cd player(id104,100%,title) | portable radio(id102,83%,title) | mp3 player(id103,67%,title)"
B00563SGRA,"Batterie ricaricabili Profoon BAT-800, Idruro di nichel metallico (NiMH), 800 mAh 1,2 V, Tipo: AAA, Set di 2",218;224,rechargeable batteries|aaa batteries,100;80,2,"rechargeable batteries(id218,100%,title) | aaa batteries(id224,80%,title)"
B00563SH9M,"Alecto ANV-18 Lampada notturna LED – luce blu a risparmio energetico con presa - accensione/spegnimento automatico - lunga durata - ideale per cameretta, stanza del bambino o corridoio",456;404,led lamp|night light,100;67,2,"led lamp(id456,100%,title) | night light(id404,67%,title)"
B00606EM9S,Alecto Bébé DBX-85 VigilaBébés Eco - Vigilabebés Audio - Vigilabebés Digital con tecnología DECT - Alcance de 300 Metros -Indicador de Sonido LED y luz Nocturna - Azul,,,,0,
B00606EU7W,Alecto Bébé DBX-88 ECO DECT Baby Monitor Audio Babyphone avec connexion sécurisée - Affichage de la température - Berceuses - VOX - Langue de visualisation informatique - Bleu,224;218;480,aaa batteries|rechargeable batteries|network adapter,100;80;80,3,"aaa batteries(id224,100%,body) | rechargeable batteries(id218,80%,body) | network adapter(id480,80%,body)"
B006MEARZQ,Profoon TX310 Button Telefoon,,,,0,
B006UZVCY2,Alecto Pluviomètre sans Fil ws-1200,,,,0,
B006UZVE9A,"Alecto Station météo sans Fil WS-1700, Gris, 39 x 174 x 305 mm",171,weather station,100,1,"weather station(id171,100%,title)"
B0077KXIAU,"Lenco SCD24 - CD-speler voor kinderen - CD-radio - stereosysteem - boombox - FM-radiotuner - trackgeheugen - 2 x 1,5 W RMS-vermogen - AC- en batterijvoeding - groen zwart",126;104;102,cd player|portable cd player|portable radio,100;70;50,3,"cd player(id126,100%,title) | portable cd player(id104,70%,body) | portable radio(id102,50%,body)"
B007NG5CB6,"Fysic Fx-6020 Big Button Dect Twinset,Zwart",,,,0,
B007NG5LPS,"FX-6000 Schnurloses Festnetztelefon - extra große Tasten, einfache Bedienung, Klingelblitzlicht, Klingelton sehr laut einstellbar - Ideal für Senioren geeignet",438,landline phone,100,1,"landline phone(id438,100%,title)"
B007TX9XE0,"Imperial 22-130-00 Dabman 30 - DAB+ Radio, DAB Plus Radio, Küchenradio, Mini Radio Dab, Badradio Digitalradio (DAB+/DAB/UKW, Aux In, inkl. Netzteil) braun",128;103,dab+ radio|mp3 player,100;50,2,"dab+ radio(id128,100%,title) | mp3 player(id103,50%,body)"
B0089AK54E,Lenco Radio Lecteur CD SCD-24 pour Enfant Chaîne Stéréo Prise Casque Aux in - Écran LCD - Batterie et Alimentation électrique - Bleu,119;32;123,kids cd player|kids headphones|stereo system,100;75;62,3,"kids cd player(id119,100%,title) | kids headphones(id32,75%,title) | stereo system(id123,62%,title)"
B0089AK54Y,"Lenco SCD24 - CD-speler voor kinderen - CD-radio - stereo-installatie - Boombox - FM-radiotuner - titelopslag - 2 x 1,5 W RMS-vermogen - voeding en batterij - rood",123;126;104;102,stereo system|cd player|portable cd player|portable radio,100;100;70;50,4,"stereo system(id123,100%,title) | cd player(id126,100%,title) | portable cd player(id104,70%,body) | portable radio(id102,50%,body)"
B00947DA9S,"Gastronoma Tritaghiaccio in acciaio inox ideale per bibite, cocktail o preparazione di dessert freddi,1 kg di ghiaccio tritato al minuto, capacità 3 litri, 80 watt",,,,0,
B009B0WWVU,Nettoyeur vapeur portable,66,steam cleaner,100,1,"steam cleaner(id66,100%,title)"
B00A98NQYK,Alecto ADB-17 Campanello senza fili - campanello wireless - portata 30 m - segnale acustico e visivo - segnale criptato - bianco,337,wireless doorbell,100,1,"wireless doorbell(id337,100%,title)"
B00A98QUES,"Alecto ANV-21 led-nachtlampje, automatisch in- en uitschakelen bij donker/helder",404,night light,100,1,"night light(id404,100%,title)"
B00A98TTLE,"Alecto LED Nachtlicht, ANV-20 - automatisches Ein- et Ausschalten bei dunkel/brillant werden",404,night light,100,1,"night light(id404,100%,title)"
B00BAS2BCQ,Lenco L-3810GY - Plattenspieler - Schallplattenspieler - Vinyl Player,122;123;673,record player|stereo system|preamplifier,100;100;50,3,"record player(id122,100%,title) | stereo system(id123,100%,body) | preamplifier(id673,50%,body)"
B00E0KBLHC,Fysic FM-7500 Cellulari per Anziani - Senior Extra Large Button Phone con caricatore da tavolo - Telefono a tasti grandi per anziani - Nero,441,senior phone,100,1,"senior phone(id441,100%,title)"
B00FU3IQGW,Profoon D-Sign Graham Retro Telefoon,438,landline phone,100,1,"landline phone(id438,100%,body)"
B00GA0805G,"Revo SuperConnect Internet-/DAB+ Radio (Internet/DAB+/DAB/UKW,Spotify,WLAN,Aux In,Cinch-Out,Kopfhörer Ausgang,inkl. Netzteil) walnuß-silber",128;129,dab+ radio|internet radio,100;100,2,"dab+ radio(id128,100%,title) | internet radio(id129,100%,title)"
B00GNWFBSK,Lenco Lco Mp3 BT X760 4Go NOI Noir,112;103,mp4 player|mp3 player,100;80,2,"mp4 player(id112,100%,body) | mp3 player(id103,80%,body)"
B00O4DTDEI,Lco Platine Mmc Ump3 L85 Noi,122;673,record player|preamplifier,100;50,2,"record player(id122,100%,title) | preamplifier(id673,50%,body)"
B00V33G4TO,"Alecto DBX-10 Baby monitor digitale, Bianco",,,,0,
B00VFOZ960,ICES ICR-210 PINK - Uhrenradio - Radiowecker mit Stromkabel - 2 Weckzeiten,414;437;127;130;413,clock radio|senior alarm|radio|tuner|alarm clock,100;100;50;50;50,5,"clock radio(id414,100%,title) | senior alarm(id437,100%,body) | radio(id127,50%,body) | tuner(id130,50%,body) | alarm clock(id413,50%,body)"
B00VFP2T62,iCES ICR-210 WHITE - Uhrenradio - Radiowecker mit Stromkabel - 2 Weckzeiten,414;437;127;130;413,clock radio|senior alarm|radio|tuner|alarm clock,100;100;50;50;50,5,"clock radio(id414,100%,title) | senior alarm(id437,100%,body) | radio(id127,50%,body) | tuner(id130,50%,body) | alarm clock(id413,50%,body)"
